"listing_id","source_payload_sha256","action","expected_status","new_status","also_hold_price","expected_price_status","new_price_status","canary_category","canary_priority"
"admission_76dd0ad58d1199d0c9952748f53df55a0558dddda1f8b89c043cbf5bb65a7af4","3322d14c0143a127a717d8330b131e6d856749a04a0ba4e3e081b17f27c91d90","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_e9a350a53091d054bb548a622314875647871f7ab471579370e6c5e1717efb42","0b4d7fc26192465eb11be907a2fe77d82565e66bd33e30e93c11e0c2f8ab791b","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_c7b43d53a4c7dc38bd81980a8c5af613b1fd567272dc878b87f556c8ef28984e","06c905d406413c81d04410aa697a38c08dabc445af0874044f242be9442da95b","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_920c60ae4bc62cde0421cd05ccbb99d3139415cbc2f6ee03c2513d77884a0d8b","aeafd07377067281a95a137c6bc9f866b793f86ca78d283254172b9b2247f69b","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_f46183f199f50e9ae130844ece63e753e3f7e8eb0998009935d58114d3e9f16c","128091b4656cfce3b1a65206f41c2f9e41c0f57bf36b723482dd9d84d2bc3940","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_6ec8402fa49c984896def52e9d2ef2a85fee3f68a9d971aef5ac8794ce94699a","86450c2c72de70deceb943e34459a9bf2dc1b28ed5a44f5c91a944e6fd16bf69","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_eaf2b61d7b9785a1219f50f2269d177b8af35213fc304d02e7e11b874bb64b08","95c0bd143b6f8b171c1851506875f2d3513372711f46ec96bee14f1912a1eff8","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_22ae8811ff52d98b49c11467c82008d236b4bbb2ab66f23813a11a5fe9b8dc05","8c962fd1d80f931040a7fc4acde8dd3388c719a7534f6fb7b84443a70ba2ec75","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
"admission_8a73ce5c2dca8914761a8f92c0127e9390cead3075bac4b94441c1dc646e0070","80e5e65fd24ee485faf00a6b2e6dee54f0eb318041e9def5e484b6c17c9c288f","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","YEAR_TOKEN_REFERENCE","4"
"admission_185cd10d8f1b3c8d8323f82e040c64d9776f9936410d9c452961f2b8f0d7e0a6","b7826e9355499b6d8235c41db5c5908368ed9198ed475bdd5a4d2182767074ea","QUARANTINE_IDENTITY_CONFLICT","APPROVED_SINGLE_CANDIDATE","QUARANTINED_IDENTITY_CONFLICT","false","","","CATALOG_BRAND_CONFLICT","3"
