"listing_id","source_payload_sha256","action","expected_status","new_status","proposed_price_usd","source_currency","canary_category","canary_priority"
"admission_51493c4c1ee74d4281615eec6f6863f5fa8dc0b56ca76f81b63e47a30882f6a5","e8268d691e95ac7e2b92a5f59cc2502631e61b02b76cfe2e038db0cd25ceb92f","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","40300","USD","BREGUET_EXACT_USD","182"
"admission_c6285cd7c27ce6883df608cec7c0c84c1128982b6cc0a3767f0ff7ddcca25ab9","bb71639332e1d77781670603ad84e6874c11f07fe9968e6fad6bbc2ecfd843ad","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","16800","USD","BREGUET_EXACT_USD","183"
"admission_30cefe9411dc09ac74f0e6eace05edd149e34635da5f9fb52db2e8ace547e1f8","d4a0d7962f80320f986d7d227f2db73053ceeafb8f02d8f41e6b66c947ecf7b3","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","21900","USD","BREGUET_EXACT_USD","184"
"admission_613fd623c7acf325ed06ffb222e3e6dcd66534bdfecdbe0c316e7a382831d1dc","4023ec6638aa5b8d09eea58771c6e49953bb4c2a2d9400834432e209cc6ed661","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","16400","USD","BREGUET_EXACT_USD","185"
"admission_b134ae72ab00f31149e90716cbc1de4018ad108896021756a35e05dbd0656c7e","0131abcd1af5d92688bbf886c68c77455848461d41dcae6cd5df8a7c226d3fdf","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","14800","USD","BREGUET_EXACT_USD","186"
"admission_877773b06172403111c1e38a8d601fcfad72d7b14fca9ba913797359f5f9b99b","f2f0b2cf9face81d8ad4bdfbe513d6910dac5bef49f0fc4dfef3973db436ba6f","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","14800","USD","BREGUET_EXACT_USD","187"
"admission_6b16e11db31a50c8405a719ecce169ddf711bc62635f0f05165767b50300ddc0","da28937fded013f3d29e1afa6a3ed4a3944b9c3d625ef69f6ffde795e64105fb","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","14000","USD","BREGUET_EXACT_USD","188"
"admission_79eff8e26b2296e5a91bfc8d90a67a2c8993363d863c2526866077ce2d4a081e","1c23e34f3491fe8ac2f228de64c24e137e9474cd0f56e4266bcea7b280db5459","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","41700","USD","BREGUET_EXACT_USD","189"
"admission_7d4a3ff3031aecbb4e3a930a673c448e73a8282107d5e30848f1fe477b0aa866","3a576138e85eeeb12b98d0fa6d3a384b0917b68f3f04b3321a703008822de081","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","42500","USD","BREGUET_EXACT_USD","190"
"admission_7f7639fb86b58e01db0f3fcd04855c85bf653d352aa2e8035ba76f55377861f4","207f2698425ce3ec51ac42d0bde0b3642d7e6383beda04ef5af478b13cb0ab7c","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","10300","USD","BREGUET_EXACT_USD","191"
"admission_46fcd08b1b502201982c9d4e387739b91bc84df373ee5934b8aaeba22f56963a","120357f159d2b114f3052a6c0972c5a40b6cead8a4892ac93b5e5fc6210040fe","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","23000","USD","BREGUET_EXACT_USD","192"
"admission_fd15954065f2fba9ba6e3bc131e1652b8973fb939831ce70b7d32ddd68174223","17914509cb0a4818b09f316c5adb7de3ba0ba4faf73c6c01ace35624a6d149a8","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","20300","USD","BREGUET_EXACT_USD","193"
"admission_a87f5a15727a0e422c66cf10ef4191abbddd14b165640f9b2d6026912ed8593a","c8f04b35f9009c43644177e2622cc347a1900b5da74524b7897f01644b13f528","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","24400","USD","BREGUET_EXACT_USD","194"
"admission_33b9cbe2c813ada22f36d6502c77424a6387b189866153d17248bf61e5137c50","942e369194e5fed61eaccb768b64e10ebe12983ee8da8783c4b92e4c8583c2b8","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","14200","USD","BREGUET_EXACT_USD","195"
"admission_482b904a2a663a288c9d7a32d0010b7b15cdf3b876182b4c5a496a90bf388fc2","d7884af0a46108e03a0508ac026aba0860cb827b55d66e24a2ad0bf2405bb5da","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","14200","USD","BREGUET_EXACT_USD","196"
"admission_e54638923458ca89b4a9dd44f848c1e7d2dd6725b9cb0eb6ca43d58120ad45a2","eb4c747bbf556a3dcb7137753964e3498b120a6b730f05b9cf062b33a663cd76","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","43000","USD","BREGUET_EXACT_USD","197"
"admission_649e6539679632b07daccb23f57fa397986ce36717c6e481906f637c95e8aec9","71e12698b2459837f6c7cd6c9d32745737735b1a646cb6cd9513c4aa30e472be","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","15800","USD","BREGUET_EXACT_USD","198"
"admission_ab222c0f1146c68d992e33df96d57f466d68df021c5f0847ab6b712c2aaf87d1","64bdb753c07d25a72cbe1599a6f65b227b0d6cbd9ba75c4225a75a879c7b5819","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","14200","USD","BREGUET_EXACT_USD","199"
"admission_0716ab47f08f0acbc46c37f7147f4e6c71687a10372c6f7d74589c3588bd7d9c","99e47c3878ae5733a3074473f77678a7e4aec67b43239a0d07585318ff469dbc","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","46300","USD","BREGUET_EXACT_USD","200"
"admission_f1854025a0993bdb23513a6a003e07f88df34bf070c86778e285a65b2edd7b9b","446b0551f91b171aff4b5fd220ee578c76b1b9ae4de24c2ee522c7ef7abc2ec8","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","18600","USD","BREGUET_EXACT_USD","201"
"admission_082d526541de8b293b0a1754c65bf036e1298382047e8bcbf9458ce16857016c","972cba6c7ea86e74be407186d053bc4bfce0ebd7598216b3929c6d0ca2fba21c","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","34200","USD","BREGUET_EXACT_USD","202"
"admission_3c613a7b646524335f4e2bcf515fdcb2760b8767578ef06472aba4c70d0f86ed","cebe88d40e901929cd689e895ad8496a90de0915419ea382f1d5d88b1833c2f1","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","34100","USD","BREGUET_EXACT_USD","203"
"admission_9eee44cd4f08c118ba3807f87e8e498f92ebf90cd54acc59aa1efa75a75cf24c","974c62203c6d1e593dabb3739aca050fe15c5911056b5b9b6bbebcb9e7ef63b2","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","41800","USD","BREGUET_EXACT_USD","204"
"admission_2a052b2b02f52e12e8ff0a514b4ba0ab59a024e350e25e74fae06d45129fb73d","15837de860ceaf64876cf8ea8220ddd4c9426f01d5259062b3895fb6a07f2d54","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","25000","USD","BREGUET_EXACT_USD","205"
"admission_cda030ab79a215d7657ad9fd48cd38a953acecd902ed809301d68b676e356a61","7cbe643bb0213b55ac7f8900c4f103a807b227b6efcbb1ae7226f939e850add0","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","12500","USD","BREGUET_EXACT_USD","206"
"admission_e5e2a1137856b0aa817b87f36ce2bd6e7075f09b80f23abed369fb105626c603","ab8a7b41b707135f407f40af14970b664f0cc527f5b24394ea27f829bb1b4e25","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","32100","USD","BREGUET_EXACT_USD","207"
"admission_e9065bc8aac684f25b85a42a02a2bac539d6f8f57c5c0d2b941ee74890ed5931","a49c3aa0b4c2fed70d56d5f2c9ab543c07cfa86570968baedcee07085b2d1a11","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","12500","USD","BREGUET_EXACT_USD","208"
"admission_b66a05f5c39b0c9809a519ceb9d52f4e90fb151b44ecbbd32d01d48ec8e6f3d9","71ba2a14683cbeb8a8cdfebdf6e35f6136026d0211799ba75fa6278323a5515a","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","32100","USD","BREGUET_EXACT_USD","209"
"admission_61612bdd2d75217283f76c4ee7922bd302455cfd0bfeb435e1d9a54f0db8b6a3","70845f5ac03ba4cf3e95b1aefaf31fe0adf64d0bf6425616cf8d5349aaa4d14c","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","25600","USD","FRANCK_EXACT_USD","1"
"admission_16b11a79ca70e797bce78ff20dd2a15b1b912ac48b059a0c4d824455ae1aeee4","a7c62d9a8f175bda728cdcd38d29a8ee16a9c6baf0312d2c5746cc1ab41d0866","PROMOTE_EXACT_RAW_USD_PRICE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","SOURCE_EXPLICIT_USD_MATCH","290000","USDT","FRANCK_EXACT_USD","1"
