"listing_id","source_payload_sha256","action","expected_status","new_status","target_price_evidence_status","null_price","canary_category","canary_priority"
"admission_1e3f35311f7c308c8dbc51e1f261ef1c813760d5b6a434252b8f284ea1354fd1","589ef2a4aeab4420a45549d2205f0f19bb3efe3daafd8ead5f74ca633fa45ac3","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_NOT_SUPPLIED","PRICE_NOT_SUPPLIED","true","LEGACY_PRICE_NULL","1"
"admission_1e5dd4c6df0ab782cc5bc3b6b4add1fbd0ee5a905128f96e90edd16a9861e244","e5080cad7f15b4243135950c464377603cba2fc719c738cad6d6c920f7969e85","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_1e8be0997bb542a1979497a2e8f3f4fb2e902655f7559b2a2d0fc0b40e0e681b","d6cee2cd45a1d516ac7eadd565fd3fadb26a210e73493a285c3eba9751a2f517","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_NOT_SUPPLIED","PRICE_NOT_SUPPLIED","true","LEGACY_PRICE_NULL","1"
"admission_1f7adac339055ab9fa793934e8e75dc885794940033018acbab12e5c1da21403","842ae5b220e650dec0ec50eeb769195aaed292879ba40e88b6832a1bcdd0c712","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_NOT_SUPPLIED","PRICE_NOT_SUPPLIED","true","LEGACY_PRICE_NULL","1"
"admission_2018b06aa4d34f76140ad6362988de0c2e2a29721bb925e445941523e48ee7a2","109a7aaca34508327a26fe530cc22d650a15a6d273d2526b3b28ee55839702d9","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_21454a8a09e8944c5f284da965ee57b53051cbe02c031025749ba85b12642cbf","3d256b6f43ccc1eaf522b435a2c6925c64bd75e4e287d155fef5509732c0a246","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_21b4a9582b00ff7335d6920b9af09b1e584b309568ca891e966c792aa634576c","c2c7c328af62c6d86671f013f5387086829e2521ec7e7520926ed259b16eb26e","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_21f8411ae12ad3cd96f03fd778a13f5c4a8b7cab8c32301d0de809b20459acb4","223719424eea4876cd340e04ebd1659a772cd8e9895dfc0131601a307f9995ef","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_2206cb6f12a20e7efd2166ffb1142f92150af9e1c44b277da0efb7bbef869677","ccd72495c0e2fe2a6e27751daaea16b9dc66a8c12afbe76a73f2b2b904654abc","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_22c72a8e778c41364c26494e7c66d94b73fe574795daf1b724435e9aae61f49a","0889974240c0cdddcd6721d84a4ae5df80080fce255a1c2b4fbed23b00aa98c3","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_238124f73967616b74770f9d75a8ddddf9d29d852406aa8ebc980c631c1282ed","51e757571228717faa3a89ddc988a6f36a5e5f0da2ba73c14ea2330498141d1e","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_245381db05eda43c6fe33d80980118e82a2f7b6243a8c716629c57c0c67e1bbb","cb8a7cea3ea65cc9730d4d5063f7ffe6b237a542b6f8053ba8c2090cca5fa20b","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_NOT_SUPPLIED","PRICE_NOT_SUPPLIED","true","LEGACY_PRICE_NULL","1"
"admission_27b782dfc9eab59495d6dca966e41928aa916810932012ee557f28582ffcb4df","288fbeda882278846a5073004503c2c86862c227ab67b7f023d021268c2006d8","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_27f91e1a5733d24c2fa575732c72ca8df39cd3e04319a94fb1f3093a32637343","e768f401de5d61308e96b13eefa16c2f308c902a5b0b3fb37e515e6b23b383b4","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_2831b2eb80c92ff51b51b11720ec9ccd6ad69104c1b9d634b0bd1d07390c21d5","144e130784014998c47ec4523450fc08c2c93dbf504819d1103fcd519714c318","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
"admission_284193df2a70666ea6f4109a8c5504b7350340bc2baa55859e45026a844dc27d","5ebed21b628f588173e3d2e8666911ed11a981a945e8830e3ebf7486bc163ff3","RECONCILE_LEGACY_LEDGER_PRICE_EVIDENCE","SOURCE_EXPLICIT_USD_MATCH","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","PRICE_RESEARCH_ADMISSION_NOT_ELIGIBLE","false","LEGACY_PRICE_RETAIN","2"
